<doc id="bv_doc_id__30" attrs="word lemma type">
II	bv_doc_id__30_d21e395
die	bv_doc_id__30_d21e3482
Festsetzung	bv_doc_id__30_d21e3484
des	bv_doc_id__30_d21e3486
Lehrzieles	bv_doc_id__30_d21e3488
bei	bv_doc_id__30_d21e3491
den	bv_doc_id__30_d21e3493
mittleren	bv_doc_id__30_d21e3495
und	bv_doc_id__30_d21e3497
niederen	bv_doc_id__30_d21e3499
Schulen	bv_doc_id__30_d21e3501
<g/>
;	
8.	bv_doc_id__30_d21e3513
hinsichtlich	bv_doc_id__30_d21e3516
der	bv_doc_id__30_d21e3518
öffentlichen	bv_doc_id__30_d21e3520
Abgaben	bv_doc_id__30_d21e3522
<g/>
,	
die	bv_doc_id__30_d21e3527
nicht	bv_doc_id__30_d21e3529
ausschließlich	bv_doc_id__30_d21e3531
oder	bv_doc_id__30_d21e3533
teilweise	bv_doc_id__30_d21e3535
für	bv_doc_id__30_d21e3538
den	bv_doc_id__30_d21e3540
Bund	bv_doc_id__30_d21e3542
eingehoben	bv_doc_id__30_d21e3544
werden	bv_doc_id__30_d21e3546
<g/>
:	
die	bv_doc_id__30_d21e3551
Anordnungen	bv_doc_id__30_d21e3553
zur	bv_doc_id__30_d21e3555
Verhinderung	bv_doc_id__30_d21e3557
von	bv_doc_id__30_d21e3559
Doppelbesteuerungen	bv_doc_id__30_d21e3561
oder	bv_doc_id__30_d21e3564
sonstigen	bv_doc_id__30_d21e3566
über	bv_doc_id__30_d21e3568
mäßigen	bv_doc_id__30_d21e3570
Belastungen	bv_doc_id__30_d21e3572
<g/>
,	
zur	bv_doc_id__30_d21e3577
Verhinderung	bv_doc_id__30_d21e3579
von	bv_doc_id__30_d21e3581
Er	bv_doc_id__30_d21e3583
schwerungen	bv_doc_id__30_d21e3585
des	bv_doc_id__30_d21e3587
Verkehrs	bv_doc_id__30_d21e3590
oder	bv_doc_id__30_d21e3592
der	bv_doc_id__30_d21e3594
wirtschaftlichen	bv_doc_id__30_d21e3596
Beziehungen	bv_doc_id__30_d21e3598
im	bv_doc_id__30_d21e3600
Verhältnis	bv_doc_id__30_d21e3603
zum	bv_doc_id__30_d21e3605
Ausland	bv_doc_id__30_d21e3607
oder	bv_doc_id__30_d21e3609
zwischen	bv_doc_id__30_d21e3611
den	bv_doc_id__30_d21e3613
Ländern	bv_doc_id__30_d21e3616
und	bv_doc_id__30_d21e3618
Landesteilen	bv_doc_id__30_d21e3620
zur	bv_doc_id__30_d21e3622
Verhinderung	bv_doc_id__30_d21e3624
der	bv_doc_id__30_d21e3626
übermäßigen	bv_doc_id__30_d21e3629
oder	bv_doc_id__30_d21e3631
verkehrserschwerenden	bv_doc_id__30_d21e3633
Belastung	bv_doc_id__30_d21e3635
der	bv_doc_id__30_d21e3637
Benutzung	bv_doc_id__30_d21e3639
öffentlicher	bv_doc_id__30_d21e3642
Verkehrswege	bv_doc_id__30_d21e3644
und	bv_doc_id__30_d21e3646
Einrichtungen	bv_doc_id__30_d21e3648
mit	bv_doc_id__30_d21e3650
Gebühren	bv_doc_id__30_d21e3652
und	bv_doc_id__30_d21e3655
zur	bv_doc_id__30_d21e3657
Verhinderung	bv_doc_id__30_d21e3659
der	bv_doc_id__30_d21e3661
Schädigung	bv_doc_id__30_d21e3663
der	bv_doc_id__30_d21e3665
Bundesfinanzen	bv_doc_id__30_d21e3668
<g/>
;	
die	bv_doc_id__30_d21e3672
Bestimmungen	bv_doc_id__30_d21e3674
über	bv_doc_id__30_d21e3676
die	bv_doc_id__30_d21e3678
Besteuerung	bv_doc_id__30_d21e3681
der	bv_doc_id__30_d21e3683
Bundesunternehmungen	bv_doc_id__30_d21e3685
<g/>
;	
8.	bv_doc_id__30_d21e3513
9.	bv_doc_id__30_d21e3695
das	bv_doc_id__30_d21e3698
Munitions=	bv_doc_id__30_d21e3700
<g/>
,	
Schieß-	bv_doc_id__30_d21e3704
und	bv_doc_id__30_d21e3707
Spreng	bv_doc_id__30_d21e3709
<g/>
.	
mittelwesen	bv_doc_id__30_d21e3713
<g/>
,	
soweit	bv_doc_id__30_d21e3717
es	bv_doc_id__30_d21e3720
nicht	bv_doc_id__30_d21e3722
dem	bv_doc_id__30_d21e3724
Monopol	bv_doc_id__30_d21e3726
unterliegt	bv_doc_id__30_d21e3728
<g/>
,	
sowie	bv_doc_id__30_d21e3733
das	bv_doc_id__30_d21e3735
Waffenwesen	bv_doc_id__30_d21e3737
<g/>
;	
*Kraftfahrwesen	bv_doc_id__30_d21e3741
<g/>
:	
9.	bv_doc_id__30_d21e3695
10.	bv_doc_id__30_d21e3750
das	bv_doc_id__30_d21e3753
Wasserrecht	bv_doc_id__30_d21e3755
und	bv_doc_id__30_d21e3757
das	bv_doc_id__30_d21e3759
Elektrizitätswesen	bv_doc_id__30_d21e3762
10.	bv_doc_id__30_d21e3750
11.	bv_doc_id__30_d21e3769
**	bv_doc_id__30_d21e3772
das	bv_doc_id__30_d21e3774
Gesundheitswesen	bv_doc_id__30_d21e3776
mit	bv_doc_id__30_d21e3778
Ausnahme	bv_doc_id__30_d21e3781
der	bv_doc_id__30_d21e3783
Heil=	bv_doc_id__30_d21e3785
und	bv_doc_id__30_d21e3787
Pflegeanstalten	bv_doc_id__30_d21e3789
und	bv_doc_id__30_d21e3791
Ambulatorien	bv_doc_id__30_d21e3794
<g/>
,	
des	bv_doc_id__30_d21e3798
Kurorte=	bv_doc_id__30_d21e3800
<g/>
,	
Leichen=	bv_doc_id__30_d21e3804
und	bv_doc_id__30_d21e3807
Begräbniswesens	bv_doc_id__30_d21e3809
sowie	bv_doc_id__30_d21e3811
des	bv_doc_id__30_d21e3813
das	bv_doc_id__30_d21e3815
Gemeindesanitätsdienstes	bv_doc_id__30_d21e3817
und	bv_doc_id__30_d21e3820
Rettungswesens	bv_doc_id__30_d21e3822
<g/>
;	
Volkswohnungs=	bv_doc_id__30_d21e3826
und	bv_doc_id__30_d21e3828
Volkspflegestättenwesen	bv_doc_id__30_d21e3830
<g/>
;	
das	bv_doc_id__30_d21e3835
Peterinärwesen	bv_doc_id__30_d21e3837
<g/>
;	
11.	bv_doc_id__30_d21e3769
12.	bv_doc_id__30_d21e3846
das	bv_doc_id__30_d21e3849
Berwaltungs=	bv_doc_id__30_d21e3851
und	bv_doc_id__30_d21e3853
das	bv_doc_id__30_d21e3855
Verwaltuugs	bv_doc_id__30_d21e3858
strafverfahren	bv_doc_id__30_d21e3860
einschließlich	bv_doc_id__30_d21e3862
der	bv_doc_id__30_d21e3864
Zwangsvollstreckung	bv_doc_id__30_d21e3866
sowie	bv_doc_id__30_d21e3868
die	bv_doc_id__30_d21e3871
allgemeinen	bv_doc_id__30_d21e3873
Bestimmungen	bv_doc_id__30_d21e3875
des	bv_doc_id__30_d21e3877
Verwaltungsstrafrechtes	bv_doc_id__30_d21e3879
in	bv_doc_id__30_d21e3881
Angelegenheiten	bv_doc_id__30_d21e3884
<g/>
,	
deren	bv_doc_id__30_d21e3888
Voll	bv_doc_id__30_d21e3890
ziehung	bv_doc_id__30_d21e3892
den	bv_doc_id__30_d21e3894
Ländern	bv_doc_id__30_d21e3897
zusteht	bv_doc_id__30_d21e3899
<g/>
.	
<g/>
(	
a	bv_doc_id__30_d21e3905
<g/>
)	
Die	bv_doc_id__30_d21e3910
Durchführungsverordnungen	bv_doc_id__30_d21e3912
zu	bv_doc_id__30_d21e3914
den	bv_doc_id__30_d21e3916
nach	bv_doc_id__30_d21e3918
dem	bv_doc_id__30_d21e3920
ersten	bv_doc_id__30_d21e3923
Absatze	bv_doc_id__30_d21e3925
ergehenden	bv_doc_id__30_d21e3927
Gesetzen	bv_doc_id__30_d21e3929
sind	bv_doc_id__30_d21e3931
<g/>
,	
soweit	bv_doc_id__30_d21e3936
in	bv_doc_id__30_d21e3938
diesen	bv_doc_id__30_d21e3940
Gesetzen	bv_doc_id__30_d21e3942
nicht	bv_doc_id__30_d21e3944
anderes	bv_doc_id__30_d21e3946
bestimmt	bv_doc_id__30_d21e3949
ist	bv_doc_id__30_d21e3951
<g/>
,	
vom	bv_doc_id__30_d21e3955
Bunde	bv_doc_id__30_d21e3957
zu	bv_doc_id__30_d21e3959
erlassen	bv_doc_id__30_d21e3962
<g/>
.	
12.	bv_doc_id__30_d21e3846
<g/>
(	
3	bv_doc_id__30_d21e3973
<g/>
)	
Die	bv_doc_id__30_d21e3978
allgemein	bv_doc_id__30_d21e3980
#	bv_doc_id__30_d21e3982
anerkannten	bv_doc_id__30_d21e3984
Regeln	bv_doc_id__30_d21e3987
des	bv_doc_id__30_d21e3989
Völkerrechtes	bv_doc_id__30_d21e3991
gelten	bv_doc_id__30_d21e3993
als	bv_doc_id__30_d21e3995
Bestandteile	bv_doc_id__30_d21e3997
des	bv_doc_id__30_d21e4000
Bundesrechten	bv_doc_id__30_d21e4002
<g/>
(	
3	bv_doc_id__30_d21e3973
<g/>
)	
Artikel	bv_doc_id__30_d21e4010
12.	bv_doc_id__30_d21e4012
<g/>
(	
1	bv_doc_id__30_d21e4021
<g/>
)	
Lediglich	bv_doc_id__30_d21e4026
die	bv_doc_id__30_d21e4028
Regelung	bv_doc_id__30_d21e4030
der	bv_doc_id__30_d21e4032
***	bv_doc_id__30_d21e4035
Grundsätze	bv_doc_id__30_d21e4037
obliegt	bv_doc_id__30_d21e4039
der	bv_doc_id__30_d21e4041
Bundesgesetzgebung	bv_doc_id__30_d21e4043
für	bv_doc_id__30_d21e4045
<g/>
:	
1.	bv_doc_id__30_d21e4055
die	bv_doc_id__30_d21e4058
Organisation	bv_doc_id__30_d21e4060
der	bv_doc_id__30_d21e4062
Verwaltung	bv_doc_id__30_d21e4064
in	bv_doc_id__30_d21e4067
den	bv_doc_id__30_d21e4069
Ländern	bv_doc_id__30_d21e4071
2	bv_doc_id__30_d21e4078
das	bv_doc_id__30_d21e4081
Verhältnis	bv_doc_id__30_d21e4083
zwischen	bv_doc_id__30_d21e4085
Schule	bv_doc_id__30_d21e4087
und	bv_doc_id__30_d21e4090
Kirche	bv_doc_id__30_d21e4095
<g/>
;	
die	bv_doc_id__30_d21e4099
Errichtung	bv_doc_id__30_d21e4101
und	bv_doc_id__30_d21e4103
Erhaltung	bv_doc_id__30_d21e4106
von	bv_doc_id__30_d21e4108
mittleren	bv_doc_id__30_d21e4110
und	bv_doc_id__30_d21e4112
niederen	bv_doc_id__30_d21e4114
Unterrichtsanstalten	bv_doc_id__30_d21e4116
<g/>
;	
den	bv_doc_id__30_d21e4121
Privatunter	bv_doc_id__30_d21e4123
richt	bv_doc_id__30_d21e4125
und	bv_doc_id__30_d21e4127
das	bv_doc_id__30_d21e4129
Privatschulwesen	bv_doc_id__30_d21e4132
<g/>
;	
das	bv_doc_id__30_d21e4136
Volksbildungs=	bv_doc_id__30_d21e4138
wesen	bv_doc_id__30_d21e4140
<g/>
;	
3.	bv_doc_id__30_d21e4150
das	bv_doc_id__30_d21e4153
Armenwesen	bv_doc_id__30_d21e4155
<g/>
;	
die	bv_doc_id__30_d21e4159
Bevölkerungspolitik	bv_doc_id__30_d21e4162
die	bv_doc_id__30_d21e4164
Mutterschafts=	bv_doc_id__30_d21e4166
<g/>
,	
Säuglings=	bv_doc_id__30_d21e4170
und	bv_doc_id__30_d21e4172
Jugendfürsorge	bv_doc_id__30_d21e4175
das	bv_doc_id__30_d21e4177
Heil=	bv_doc_id__30_d21e4179
und	bv_doc_id__30_d21e4181
Pflegeanstaltenwesen	bv_doc_id__30_d21e4183
einschließlich	bv_doc_id__30_d21e4185
der	bv_doc_id__30_d21e4188
Ambularien	bv_doc_id__30_d21e4190
<g/>
;	
die	bv_doc_id__30_d21e4194
Ausgrabung	bv_doc_id__30_d21e4196
und	bv_doc_id__30_d21e4198
Überführung	bv_doc_id__30_d21e4201
von	bv_doc_id__30_d21e4203
Leichen	bv_doc_id__30_d21e4205
<g/>
.	
4.	bv_doc_id__30_d21e4214
die	bv_doc_id__30_d21e4217
Einrichtungen	bv_doc_id__30_d21e4219
zum	bv_doc_id__30_d21e4221
Schutze	bv_doc_id__30_d21e4223
der	bv_doc_id__30_d21e4226
Gesellschaft	bv_doc_id__30_d21e4228
gegen	bv_doc_id__30_d21e4230
verbrecherische	bv_doc_id__30_d21e4232
<g/>
,	
verwahrlofte	bv_doc_id__30_d21e4236
oder	bv_doc_id__30_d21e4239
sonst	bv_doc_id__30_d21e4241
gefährliche	bv_doc_id__30_d21e4243
Personen	bv_doc_id__30_d21e4245
<g/>
,	
wie	bv_doc_id__30_d21e4249
Zwangsarbeits=	bv_doc_id__30_d21e4252
und	bv_doc_id__30_d21e4254
ähnliche	bv_doc_id__30_d21e4256
Anstalten	bv_doc_id__30_d21e4258
<g/>
;	
die	bv_doc_id__30_d21e4262
Abschiebung	bv_doc_id__30_d21e4265
<g/>
,	
und	bv_doc_id__30_d21e4269
Abschaffung	bv_doc_id__30_d21e4271
aus	bv_doc_id__30_d21e4273
einem	bv_doc_id__30_d21e4275
in	bv_doc_id__30_d21e4278
ein	bv_doc_id__30_d21e4280
anderes	bv_doc_id__30_d21e4282
Land	bv_doc_id__30_d21e4284
<g/>
;	
<g/>
/:	
Nähere	bv_doc_id__30_d21e4293
Stellungnahme	bv_doc_id__30_d21e4295
vorbe	bv_doc_id__30_d21e4297
halten	bv_doc_id__30_d21e4299
<g/>
:/	
*	bv_doc_id__30_d21e4304
die	bv_doc_id__30_d21e4306
betriebstechnischen	bv_doc_id__30_d21e4308
Vorschrift	bv_doc_id__30_d21e4310
ten	bv_doc_id__30_d21e4312
beim	bv_doc_id__30_d21e4315
**	bv_doc_id__30_d21e4317
die	bv_doc_id__30_d21e4319
Ausbildung	bv_doc_id__30_d21e4321
<g/>
,	
Fortbildung	bv_doc_id__30_d21e4325
und	bv_doc_id__30_d21e4328
Berufsausübung	bv_doc_id__30_d21e4330
von	bv_doc_id__30_d21e4332
Heilpersonen	bv_doc_id__30_d21e4334
<g/>
;	
das	bv_doc_id__30_d21e4338
Heilmittelwesen	bv_doc_id__30_d21e4341
<g/>
;	
#	bv_doc_id__30_d21e4345
Artikel	bv_doc_id__30_d21e4347
1	bv_doc_id__30_d21e4349
i	bv_doc_id__30_d21e4351
a	bv_doc_id__30_d21e4354
<g/>
[?]	
***	bv_doc_id__30_d21e4358
allgemein	bv_doc_id__30_d21e4360
6	bv_doc_id__30_d21e4364
*	bv_doc_id__30_d21e4369
sowie	bv_doc_id__30_d21e4371
das	bv_doc_id__30_d21e4373
Sozialversicherungswesen	bv_doc_id__30_d21e4375
<g/>
,	
**	bv_doc_id__30_d21e4380
das	bv_doc_id__30_d21e4382
Wasserrecht	bv_doc_id__30_d21e4384
und	bv_doc_id__30_d21e4386
das	bv_doc_id__30_d21e4388
Elektrizitätswesen	bv_doc_id__30_d21e4390
<g/>
;	
***	bv_doc_id__30_d21e4395
jener	bv_doc_id__30_d21e4397
Angestellten	bv_doc_id__30_d21e4399
des	bv_doc_id__30_d21e4401
Landes	bv_doc_id__30_d21e4403
<g/>
,	
die	bv_doc_id__30_d21e4408
behördliche	bv_doc_id__30_d21e4410
Aufgaben	bv_doc_id__30_d21e4412
<g/>
(	
2	bv_doc_id__30_d21e4421
<g/>
)	
Soferne	bv_doc_id__30_d21e4426
in	bv_doc_id__30_d21e4428
Angelegenheiten	bv_doc_id__30_d21e4430
der	bv_doc_id__30_d21e4432
Artikel	bv_doc_id__30_d21e4435
11	bv_doc_id__30_d21e4437
und	bv_doc_id__30_d21e4439
12	bv_doc_id__30_d21e4441
im	bv_doc_id__30_d21e4443
Akt	bv_doc_id__30_d21e4445
der	bv_doc_id__30_d21e4448
vollziehenden	bv_doc_id__30_d21e4450
Gevalt	bv_doc_id__30_d21e4452
für	bv_doc_id__30_d21e4454
mehrere	bv_doc_id__30_d21e4456
Länder	bv_doc_id__30_d21e4458
Rechtswirksamkeit	bv_doc_id__30_d21e4461
äus	bv_doc_id__30_d21e4463
sern	bv_doc_id__30_d21e4465
soll	bv_doc_id__30_d21e4467
<g/>
,	
geht	bv_doc_id__30_d21e4471
die	bv_doc_id__30_d21e4474
Zuständigkeit	bv_doc_id__30_d21e4476
für	bv_doc_id__30_d21e4478
diesen	bv_doc_id__30_d21e4480
Vollzugsakt	bv_doc_id__30_d21e4482
<g/>
,	
wenn	bv_doc_id__30_d21e4487
die	bv_doc_id__30_d21e4489
beteiligten	bv_doc_id__30_d21e4491
Länder	bv_doc_id__30_d21e4493
sich	bv_doc_id__30_d21e4495
nicht	bv_doc_id__30_d21e4497
selbst	bv_doc_id__30_d21e4500
einigen	bv_doc_id__30_d21e4502
<g/>
,	
auf	bv_doc_id__30_d21e4506
den	bv_doc_id__30_d21e4508
Bund	bv_doc_id__30_d21e4510
über	bv_doc_id__30_d21e4513
<g/>
.	
<g/>
(	
3	bv_doc_id__30_d21e4524
<g/>
)	
Die	bv_doc_id__30_d21e4529
auf	bv_doc_id__30_d21e4531
Grund	bv_doc_id__30_d21e4533
der	bv_doc_id__30_d21e4535
Artikel	bv_doc_id__30_d21e4538
11	bv_doc_id__30_d21e4546
und	bv_doc_id__30_d21e4549
12	bv_doc_id__30_d21e4551
zu	bv_doc_id__30_d21e4553
erlassenden	bv_doc_id__30_d21e4555
Bundesgesetze	bv_doc_id__30_d21e4558
haben	bv_doc_id__30_d21e4560
vorzusehen	bv_doc_id__30_d21e4562
<g/>
,	
ob	bv_doc_id__30_d21e4566
und	bv_doc_id__30_d21e4568
inwieferne	bv_doc_id__30_d21e4571
über	bv_doc_id__30_d21e4573
Antrag	bv_doc_id__30_d21e4575
einer	bv_doc_id__30_d21e4577
beteiligten	bv_doc_id__30_d21e4579
Landesregierung	bv_doc_id__30_d21e4581
der	bv_doc_id__30_d21e4584
Vollzug	bv_doc_id__30_d21e4586
auf	bv_doc_id__30_d21e4588
den	bv_doc_id__30_d21e4590
Bund	bv_doc_id__30_d21e4592
übergeht	bv_doc_id__30_d21e4594
<g/>
,	
wenn	bv_doc_id__30_d21e4599
ein	bv_doc_id__30_d21e4601
Akt	bv_doc_id__30_d21e4603
der	bv_doc_id__30_d21e4605
vollziehenden	bv_doc_id__30_d21e4607
Gewalt	bv_doc_id__30_d21e4610
eines	bv_doc_id__30_d21e4612
Landes	bv_doc_id__30_d21e4614
Rückwirkungen	bv_doc_id__30_d21e4616
auf	bv_doc_id__30_d21e4618
ein	bv_doc_id__30_d21e4620
anderes	bv_doc_id__30_d21e4623
Land	bv_doc_id__30_d21e4628
zu	bv_doc_id__30_d21e4630
äußern	bv_doc_id__30_d21e4632
geeignet	bv_doc_id__30_d21e4634
ist	bv_doc_id__30_d21e4636
<g/>
,	
soferne	bv_doc_id__30_d21e4641
sich	bv_doc_id__30_d21e4643
die	bv_doc_id__30_d21e4645
beteiligten	bv_doc_id__30_d21e4647
Länder	bv_doc_id__30_d21e4649
nicht	bv_doc_id__30_d21e4652
einigen	bv_doc_id__30_d21e4654
können	bv_doc_id__30_d21e4656
<g/>
.	
4	bv_doc_id__30_d21e4665
<g/>
)	
In	bv_doc_id__30_d21e4670
jenen	bv_doc_id__30_d21e4672
Angelegenheiten	bv_doc_id__30_d21e4674
<g/>
,	
die	bv_doc_id__30_d21e4679
nach	bv_doc_id__30_d21e4681
Artikel	bv_doc_id__30_d21e4683
11	bv_doc_id__30_d21e4685
und	bv_doc_id__30_d21e4687
12	bv_doc_id__30_d21e4689
zur	bv_doc_id__30_d21e4692
Gänze	bv_doc_id__30_d21e4694
oder	bv_doc_id__30_d21e4696
der	bv_doc_id__30_d21e4698
Regelung	bv_doc_id__30_d21e4700
der	bv_doc_id__30_d21e4702
Grundsätze	bv_doc_id__30_d21e4705
nach	bv_doc_id__30_d21e4707
der	bv_doc_id__30_d21e4709
Bundesgesetzgebung	bv_doc_id__30_d21e4711
vorbehalten	bv_doc_id__30_d21e4713
sind	bv_doc_id__30_d21e4715
<g/>
,	
steht	bv_doc_id__30_d21e4720
dem	bv_doc_id__30_d21e4722
Bunde	bv_doc_id__30_d21e4724
das	bv_doc_id__30_d21e4726
Recht	bv_doc_id__30_d21e4728
zu	bv_doc_id__30_d21e4731
<g/>
,	
die	bv_doc_id__30_d21e4735
Einhaltung	bv_doc_id__30_d21e4737
der	bv_doc_id__30_d21e4739
von	bv_doc_id__30_d21e4741
ihm	bv_doc_id__30_d21e4744
erlassenen	bv_doc_id__30_d21e4746
Vorschriften	bv_doc_id__30_d21e4748
wahrzuneh	bv_doc_id__30_d21e4750
men	bv_doc_id__30_d21e4752
<g/>
.	
1	bv_doc_id__30_d21e4761
<g/>
(	
6	bv_doc_id__30_d21e4765
<g/>
)	
Bundesrecht	bv_doc_id__30_d21e4770
bricht	bv_doc_id__30_d21e4772
Landesrecht	bv_doc_id__30_d21e4774
5.	bv_doc_id__30_d21e4781
die	bv_doc_id__30_d21e4784
öffentlichen	bv_doc_id__30_d21e4786
Einrichtungen	bv_doc_id__30_d21e4788
zur	bv_doc_id__30_d21e4790
außergerichtlichen	bv_doc_id__30_d21e4793
Vermittlung	bv_doc_id__30_d21e4795
von	bv_doc_id__30_d21e4797
Streitigkeiten	bv_doc_id__30_d21e4799
<g/>
;	
6.	bv_doc_id__30_d21e4808
dasArbeiterrecht	bv_doc_id__30_d21e4811
und	bv_doc_id__30_d21e4813
den	bv_doc_id__30_d21e4815
Arbeiter	bv_doc_id__30_d21e4817
und	bv_doc_id__30_d21e4820
Angestelltenschutz	bv_doc_id__30_d21e4822
<g/>
,	
*	bv_doc_id__30_d21e4826
soweit	bv_doc_id__30_d21e4828
es	bv_doc_id__30_d21e4830
sich	bv_doc_id__30_d21e4833
um	bv_doc_id__30_d21e4835
land=	bv_doc_id__30_d21e4837
und	bv_doc_id__30_d21e4839
forstwirtschaftliche	bv_doc_id__30_d21e4841
Arbeiter	bv_doc_id__30_d21e4843
und	bv_doc_id__30_d21e4846
Angestellte	bv_doc_id__30_d21e4848
handelt	bv_doc_id__30_d21e4850
<g/>
;	
7.	bv_doc_id__30_d21e4860
die	bv_doc_id__30_d21e4863
beruflichen	bv_doc_id__30_d21e4865
Vertretungen	bv_doc_id__30_d21e4867
auf	bv_doc_id__30_d21e4869
land	bv_doc_id__30_d21e4872
und	bv_doc_id__30_d21e4879
forstwirtschaftlichem	bv_doc_id__30_d21e4881
Gebiete	bv_doc_id__30_d21e4883
<g/>
;	
8.	bv_doc_id__30_d21e4892
**die	bv_doc_id__30_d21e4895
Bodenreform	bv_doc_id__30_d21e4897
<g/>
(	
agrarische	bv_doc_id__30_d21e4901
Operationen	bv_doc_id__30_d21e4904
<g/>
,	
Wiederbesiedlung	bv_doc_id__30_d21e4908
usw	bv_doc_id__30_d21e4910
<g/>
.)	
und	bv_doc_id__30_d21e4914
die	bv_doc_id__30_d21e4917
Bodenentschuldung	bv_doc_id__30_d21e4919
<g/>
;	
das	bv_doc_id__30_d21e4923
Forstwesen	bv_doc_id__30_d21e4925
einschließlich	bv_doc_id__30_d21e4927
des	bv_doc_id__30_d21e4930
Triftwesens	bv_doc_id__30_d21e4932
<g/>
,	
jedoch	bv_doc_id__30_d21e4936
mit	bv_doc_id__30_d21e4938
Ausnahme	bv_doc_id__30_d21e4940
der	bv_doc_id__30_d21e4943
Forst=	bv_doc_id__30_d21e4945
und	bv_doc_id__30_d21e4947
Weideservituten	bv_doc_id__30_d21e4949
<g/>
;	
den	bv_doc_id__30_d21e4953
Schutz	bv_doc_id__30_d21e4956
der	bv_doc_id__30_d21e4958
Pflanzen	bv_doc_id__30_d21e4960
gegen	bv_doc_id__30_d21e4962
Krankheiten	bv_doc_id__30_d21e4964
und	bv_doc_id__30_d21e4966
Schädlinge	bv_doc_id__30_d21e4969
<g/>
;	
9.	bv_doc_id__30_d21e4978
das	bv_doc_id__30_d21e4981
Dienstrecht	bv_doc_id__30_d21e4983
der	bv_doc_id__30_d21e4985
Lehrpersonen	bv_doc_id__30_d21e4987
an	bv_doc_id__30_d21e4990
mittleren	bv_doc_id__30_d21e4995
Unterrichtsanstalten	bv_doc_id__30_d21e4997
und	bv_doc_id__30_d21e4999
***	bv_doc_id__30_d21e5001
der	bv_doc_id__30_d21e5003
Angestellten	bv_doc_id__30_d21e5006
jener	bv_doc_id__30_d21e5008
Landesbehörden	bv_doc_id__30_d21e5010
<g/>
,	
die	bv_doc_id__30_d21e5014
auch	bv_doc_id__30_d21e5016
Bundesangelegenheiten	bv_doc_id__30_d21e5019
zu	bv_doc_id__30_d21e5021
besorgen	bv_doc_id__30_d21e5023
haben	bv_doc_id__30_d21e5025
<g/>
,	
einschließlich	bv_doc_id__30_d21e5029
der	bv_doc_id__30_d21e5032
Regelung	bv_doc_id__30_d21e5034
des	bv_doc_id__30_d21e5036
im	bv_doc_id__30_d21e5038
Einvernehmen-	bv_doc_id__30_d21e5040
der	bv_doc_id__30_d21e5042
in	bv_doc_id__30_d21e5045
Betracht	bv_doc_id__30_d21e5047
kommenden	bv_doc_id__30_d21e5049
„Länder	bv_doc_id__30_d21e5051
zu	bv_doc_id__30_d21e5053
vollziehenden	bv_doc_id__30_d21e5055
Dienstwechsels	bv_doc_id__30_d21e5058
von	bv_doc_id__30_d21e5060
Land	bv_doc_id__30_d21e5062
zu	bv_doc_id__30_d21e5064
Land	bv_doc_id__30_d21e5066
<g/>
.	
<g/>
(	
2	bv_doc_id__30_d21e5077
<g/>
)	
Die	bv_doc_id__30_d21e5082
Entscheidung	bv_doc_id__30_d21e5084
oberster	bv_doc_id__30_d21e5086
Instanz	bv_doc_id__30_d21e5088
in	bv_doc_id__30_d21e5091
Angelegenheiten	bv_doc_id__30_d21e5093
der	bv_doc_id__30_d21e5095
Bodenreform	bv_doc_id__30_d21e5097
<g/>
(	
erster	bv_doc_id__30_d21e5101
Absatz	bv_doc_id__30_d21e5104
<g/>
,	
Punkt	bv_doc_id__30_d21e5108
8	bv_doc_id__30_d21e5110
<g/>
)	
wird	bv_doc_id__30_d21e5114
einer	bv_doc_id__30_d21e5117
vom	bv_doc_id__30_d21e5119
Bunde	bv_doc_id__30_d21e5121
eingesetzten	bv_doc_id__30_d21e5123
<g/>
,	
aus	bv_doc_id__30_d21e5127
Richtern	bv_doc_id__30_d21e5130
<g/>
,	
Verwaltungsbeamten	bv_doc_id__30_d21e5134
und	bv_doc_id__30_d21e5136
Sachverständigen	bv_doc_id__30_d21e5138
bestehenden	bv_doc_id__30_d21e5140
Kommission	bv_doc_id__30_d21e5143
übertragen	bv_doc_id__30_d21e5145
<g/>
.	
Artikel	bv_doc_id__30_d21e4010
12.	bv_doc_id__30_d21e4012
<g/>
(	
1	bv_doc_id__30_d21e4021
<g/>
)	
Lediglich	bv_doc_id__30_d21e4026
die	bv_doc_id__30_d21e4028
Regelung	bv_doc_id__30_d21e4030
der	bv_doc_id__30_d21e4032
***	bv_doc_id__30_d21e4035
Grundsätze	bv_doc_id__30_d21e4037
obliegt	bv_doc_id__30_d21e4039
der	bv_doc_id__30_d21e4041
Bundesgesetzgebung	bv_doc_id__30_d21e4043
für	bv_doc_id__30_d21e4045
<g/>
:	
<g/>
(	
1	bv_doc_id__30_d21e4021
<g/>
)	
1.	bv_doc_id__30_d21e4055
die	bv_doc_id__30_d21e4058
Organisation	bv_doc_id__30_d21e4060
der	bv_doc_id__30_d21e4062
Verwaltung	bv_doc_id__30_d21e4064
in	bv_doc_id__30_d21e4067
den	bv_doc_id__30_d21e4069
Ländern	bv_doc_id__30_d21e4071
1.	bv_doc_id__30_d21e4055
2	bv_doc_id__30_d21e4078
das	bv_doc_id__30_d21e4081
Verhältnis	bv_doc_id__30_d21e4083
zwischen	bv_doc_id__30_d21e4085
Schule	bv_doc_id__30_d21e4087
und	bv_doc_id__30_d21e4090
2	bv_doc_id__30_d21e4078
