<doc id="bv_doc_id__9" attrs="word lemma type">
Zweite	bv_doc_id__9_d57e407
zwei	bv_doc_id__9_d57e7936
Dritteln	bv_doc_id__9_d57e7938
aller	bv_doc_id__9_d57e7940
Mitglieder	bv_doc_id__9_d57e7942
und	bv_doc_id__9_d57e7944
mit	bv_doc_id__9_d57e7947
einer	bv_doc_id__9_d57e7949
Mehrheit	bv_doc_id__9_d57e7951
von	bv_doc_id__9_d57e7953
drei	bv_doc_id__9_d57e7955
Vierteln	bv_doc_id__9_d57e7957
aller	bv_doc_id__9_d57e7960
abgegebenen	bv_doc_id__9_d57e7962
Stimmen	bv_doc_id__9_d57e7964
beschlossen	bv_doc_id__9_d57e7966
werden	bv_doc_id__9_d57e7968
<g/>
.	
Artikel	bv_doc_id__9_d57e7834
31.	bv_doc_id__9_d57e7836
<g/>
(	
1	bv_doc_id__9_d57e7845
<g/>
)	
Zu	bv_doc_id__9_d57e7850
einem	bv_doc_id__9_d57e7852
Beschluß	bv_doc_id__9_d57e7854
des	bv_doc_id__9_d57e7856
Bundestages	bv_doc_id__9_d57e7859
ist	bv_doc_id__9_d57e7861
die	bv_doc_id__9_d57e7863
Anwesenheit	bv_doc_id__9_d57e7865
von	bv_doc_id__9_d57e7867
mindestens	bv_doc_id__9_d57e7869
einem	bv_doc_id__9_d57e7872
Viertel	bv_doc_id__9_d57e7874
der	bv_doc_id__9_d57e7876
Mitglieder	bv_doc_id__9_d57e7878
und	bv_doc_id__9_d57e7880
die	bv_doc_id__9_d57e7882
absolute	bv_doc_id__9_d57e7885
Mehrheit	bv_doc_id__9_d57e7887
der	bv_doc_id__9_d57e7889
abgegebenen	bv_doc_id__9_d57e7891
Stimmen	bv_doc_id__9_d57e7893
erforderlich	bv_doc_id__9_d57e7895
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e7845
<g/>
)	
<g/>
(	
2	bv_doc_id__9_d57e7907
<g/>
)	
Eine	bv_doc_id__9_d57e7912
Abänderung	bv_doc_id__9_d57e7914
der	bv_doc_id__9_d57e7916
Bundesverfassung	bv_doc_id__9_d57e7918
kann	bv_doc_id__9_d57e7921
jedoch	bv_doc_id__9_d57e7923
nur	bv_doc_id__9_d57e7925
bei	bv_doc_id__9_d57e7927
Anwesenheit	bv_doc_id__9_d57e7929
von	bv_doc_id__9_d57e7931
mindestens	bv_doc_id__9_d57e7934
zwei	bv_doc_id__9_d57e7936
Dritteln	bv_doc_id__9_d57e7938
aller	bv_doc_id__9_d57e7940
Mitglieder	bv_doc_id__9_d57e7942
und	bv_doc_id__9_d57e7944
mit	bv_doc_id__9_d57e7947
einer	bv_doc_id__9_d57e7949
Mehrheit	bv_doc_id__9_d57e7951
von	bv_doc_id__9_d57e7953
drei	bv_doc_id__9_d57e7955
Vierteln	bv_doc_id__9_d57e7957
aller	bv_doc_id__9_d57e7960
abgegebenen	bv_doc_id__9_d57e7962
Stimmen	bv_doc_id__9_d57e7964
beschlossen	bv_doc_id__9_d57e7966
werden	bv_doc_id__9_d57e7968
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e7907
<g/>
)	
Artikel	bv_doc_id__9_d57e7978
32.	bv_doc_id__9_d57e7980
Jede	bv_doc_id__9_d57e7985
Gesamtänderung	bv_doc_id__9_d57e7987
der	bv_doc_id__9_d57e7989
Bundesverfassung	bv_doc_id__9_d57e7991
<g/>
,	
eine	bv_doc_id__9_d57e7996
teilweise	bv_doc_id__9_d57e7998
Änderung	bv_doc_id__9_d57e8000
aber	bv_doc_id__9_d57e8002
nur	bv_doc_id__9_d57e8004
<g/>
,	
wenn	bv_doc_id__9_d57e8009
dies	bv_doc_id__9_d57e8011
von	bv_doc_id__9_d57e8013
einem	bv_doc_id__9_d57e8015
Drittel	bv_doc_id__9_d57e8017
der	bv_doc_id__9_d57e8019
Mitglieder	bv_doc_id__9_d57e8022
des	bv_doc_id__9_d57e8024
Bundestages	bv_doc_id__9_d57e8026
oder	bv_doc_id__9_d57e8028
des	bv_doc_id__9_d57e8030
Bundesrates	bv_doc_id__9_d57e8032
verlangt	bv_doc_id__9_d57e8035
wird	bv_doc_id__9_d57e8037
<g/>
,	
ist	bv_doc_id__9_d57e8041
nach	bv_doc_id__9_d57e8043
erfolgter	bv_doc_id__9_d57e8045
Beschlußfassung	bv_doc_id__9_d57e8048
durch	bv_doc_id__9_d57e8050
den	bv_doc_id__9_d57e8052
Bundestag	bv_doc_id__9_d57e8054
und	bv_doc_id__9_d57e8056
Genehmigung	bv_doc_id__9_d57e8058
durch	bv_doc_id__9_d57e8061
den	bv_doc_id__9_d57e8063
Bundesrat	bv_doc_id__9_d57e8065
<g/>
,	
jedoch	bv_doc_id__9_d57e8069
vor	bv_doc_id__9_d57e8071
der	bv_doc_id__9_d57e8074
Beurkundung	bv_doc_id__9_d57e8076
durch	bv_doc_id__9_d57e8078
den	bv_doc_id__9_d57e8080
Bundespräsidenten	bv_doc_id__9_d57e8082
einer	bv_doc_id__9_d57e8084
Abstimmung	bv_doc_id__9_d57e8087
des	bv_doc_id__9_d57e8089
gesamten	bv_doc_id__9_d57e8091
Bundesvolkes	bv_doc_id__9_d57e8093
zu	bv_doc_id__9_d57e8095
unterziehen	bv_doc_id__9_d57e8097
<g/>
.	
Artikel	bv_doc_id__9_d57e7978
32.	bv_doc_id__9_d57e7980
Jede	bv_doc_id__9_d57e7985
Gesamtänderung	bv_doc_id__9_d57e7987
der	bv_doc_id__9_d57e7989
Bundesverfassung	bv_doc_id__9_d57e7991
<g/>
,	
eine	bv_doc_id__9_d57e7996
teilweise	bv_doc_id__9_d57e7998
Änderung	bv_doc_id__9_d57e8000
aber	bv_doc_id__9_d57e8002
nur	bv_doc_id__9_d57e8004
<g/>
,	
wenn	bv_doc_id__9_d57e8009
dies	bv_doc_id__9_d57e8011
von	bv_doc_id__9_d57e8013
einem	bv_doc_id__9_d57e8015
Drittel	bv_doc_id__9_d57e8017
der	bv_doc_id__9_d57e8019
Mitglieder	bv_doc_id__9_d57e8022
des	bv_doc_id__9_d57e8024
Bundestages	bv_doc_id__9_d57e8026
oder	bv_doc_id__9_d57e8028
des	bv_doc_id__9_d57e8030
Bundesrates	bv_doc_id__9_d57e8032
verlangt	bv_doc_id__9_d57e8035
wird	bv_doc_id__9_d57e8037
<g/>
,	
ist	bv_doc_id__9_d57e8041
nach	bv_doc_id__9_d57e8043
erfolgter	bv_doc_id__9_d57e8045
Beschlußfassung	bv_doc_id__9_d57e8048
durch	bv_doc_id__9_d57e8050
den	bv_doc_id__9_d57e8052
Bundestag	bv_doc_id__9_d57e8054
und	bv_doc_id__9_d57e8056
Genehmigung	bv_doc_id__9_d57e8058
durch	bv_doc_id__9_d57e8061
den	bv_doc_id__9_d57e8063
Bundesrat	bv_doc_id__9_d57e8065
<g/>
,	
jedoch	bv_doc_id__9_d57e8069
vor	bv_doc_id__9_d57e8071
der	bv_doc_id__9_d57e8074
Beurkundung	bv_doc_id__9_d57e8076
durch	bv_doc_id__9_d57e8078
den	bv_doc_id__9_d57e8080
Bundespräsidenten	bv_doc_id__9_d57e8082
einer	bv_doc_id__9_d57e8084
Abstimmung	bv_doc_id__9_d57e8087
des	bv_doc_id__9_d57e8089
gesamten	bv_doc_id__9_d57e8091
Bundesvolkes	bv_doc_id__9_d57e8093
zu	bv_doc_id__9_d57e8095
unterziehen	bv_doc_id__9_d57e8097
<g/>
.	
Artikel	bv_doc_id__9_d57e8109
33.	bv_doc_id__9_d57e8111
Einer	bv_doc_id__9_d57e8116
solchen	bv_doc_id__9_d57e8118
Volksabstimmung	bv_doc_id__9_d57e8120
ist	bv_doc_id__9_d57e8122
ferner	bv_doc_id__9_d57e8124
jedes	bv_doc_id__9_d57e8127
Bundesgesetz	bv_doc_id__9_d57e8129
unterworfen	bv_doc_id__9_d57e8131
<g/>
,	
wenn	bv_doc_id__9_d57e8135
dies	bv_doc_id__9_d57e8137
von	bv_doc_id__9_d57e8140
wenigstens	bv_doc_id__9_d57e8142
300.000	bv_doc_id__9_d57e8144
Stimmberechtigten	bv_doc_id__9_d57e8146
oder	bv_doc_id__9_d57e8148
von	bv_doc_id__9_d57e8150
der	bv_doc_id__9_d57e8153
Mehrheit	bv_doc_id__9_d57e8155
der	bv_doc_id__9_d57e8157
Stimmberechtigten	bv_doc_id__9_d57e8159
dreier	bv_doc_id__9_d57e8161
einzelner	bv_doc_id__9_d57e8163
Länder	bv_doc_id__9_d57e8166
innerhalb	bv_doc_id__9_d57e8168
sechs	bv_doc_id__9_d57e8170
Wochen	bv_doc_id__9_d57e8172
nach	bv_doc_id__9_d57e8174
erfolgter	bv_doc_id__9_d57e8176
Kundmachung	bv_doc_id__9_d57e8179
des	bv_doc_id__9_d57e8181
Gesetzes	bv_doc_id__9_d57e8183
gefordert	bv_doc_id__9_d57e8185
wird	bv_doc_id__9_d57e8187
<g/>
.	
Artikel	bv_doc_id__9_d57e8109
33.	bv_doc_id__9_d57e8111
Einer	bv_doc_id__9_d57e8116
solchen	bv_doc_id__9_d57e8118
Volksabstimmung	bv_doc_id__9_d57e8120
ist	bv_doc_id__9_d57e8122
ferner	bv_doc_id__9_d57e8124
jedes	bv_doc_id__9_d57e8127
Bundesgesetz	bv_doc_id__9_d57e8129
unterworfen	bv_doc_id__9_d57e8131
<g/>
,	
wenn	bv_doc_id__9_d57e8135
dies	bv_doc_id__9_d57e8137
von	bv_doc_id__9_d57e8140
wenigstens	bv_doc_id__9_d57e8142
300.000	bv_doc_id__9_d57e8144
Stimmberechtigten	bv_doc_id__9_d57e8146
oder	bv_doc_id__9_d57e8148
von	bv_doc_id__9_d57e8150
der	bv_doc_id__9_d57e8153
Mehrheit	bv_doc_id__9_d57e8155
der	bv_doc_id__9_d57e8157
Stimmberechtigten	bv_doc_id__9_d57e8159
dreier	bv_doc_id__9_d57e8161
einzelner	bv_doc_id__9_d57e8163
Länder	bv_doc_id__9_d57e8166
innerhalb	bv_doc_id__9_d57e8168
sechs	bv_doc_id__9_d57e8170
Wochen	bv_doc_id__9_d57e8172
nach	bv_doc_id__9_d57e8174
erfolgter	bv_doc_id__9_d57e8176
Kundmachung	bv_doc_id__9_d57e8179
des	bv_doc_id__9_d57e8181
Gesetzes	bv_doc_id__9_d57e8183
gefordert	bv_doc_id__9_d57e8185
wird	bv_doc_id__9_d57e8187
<g/>
.	
Artikel	bv_doc_id__9_d57e8197
34.	bv_doc_id__9_d57e8199
Das	bv_doc_id__9_d57e8204
Bundesvolk	bv_doc_id__9_d57e8206
hat	bv_doc_id__9_d57e8208
die	bv_doc_id__9_d57e8210
vom	bv_doc_id__9_d57e8212
Bundestag	bv_doc_id__9_d57e8215
beschlossene	bv_doc_id__9_d57e8217
und	bv_doc_id__9_d57e8219
vom	bv_doc_id__9_d57e8221
Bundesrat	bv_doc_id__9_d57e8223
genehmigte	bv_doc_id__9_d57e8225
Verfassungsänderung	bv_doc_id__9_d57e8228
angenommen	bv_doc_id__9_d57e8230
und	bv_doc_id__9_d57e8232
es	bv_doc_id__9_d57e8234
hat	bv_doc_id__9_d57e8236
das	bv_doc_id__9_d57e8238
bereits	bv_doc_id__9_d57e8241
kundgemachte	bv_doc_id__9_d57e8243
Bundesgesetz	bv_doc_id__9_d57e8245
abgelehnt	bv_doc_id__9_d57e8247
<g/>
,	
wenn	bv_doc_id__9_d57e8251
die	bv_doc_id__9_d57e8254
Mehrheit	bv_doc_id__9_d57e8256
der	bv_doc_id__9_d57e8258
abgegebenen	bv_doc_id__9_d57e8260
Stimmen	bv_doc_id__9_d57e8262
sich	bv_doc_id__9_d57e8264
für	bv_doc_id__9_d57e8267
die	bv_doc_id__9_d57e8269
Verfassungsänderung	bv_doc_id__9_d57e8271
oder	bv_doc_id__9_d57e8273
gegen	bv_doc_id__9_d57e8275
das	bv_doc_id__9_d57e8277
Bundesgesetz	bv_doc_id__9_d57e8280
ausgesprochen	bv_doc_id__9_d57e8282
hat	bv_doc_id__9_d57e8284
<g/>
.	
Artikel	bv_doc_id__9_d57e8197
34.	bv_doc_id__9_d57e8199
Das	bv_doc_id__9_d57e8204
Bundesvolk	bv_doc_id__9_d57e8206
hat	bv_doc_id__9_d57e8208
die	bv_doc_id__9_d57e8210
vom	bv_doc_id__9_d57e8212
Bundestag	bv_doc_id__9_d57e8215
beschlossene	bv_doc_id__9_d57e8217
und	bv_doc_id__9_d57e8219
vom	bv_doc_id__9_d57e8221
Bundesrat	bv_doc_id__9_d57e8223
genehmigte	bv_doc_id__9_d57e8225
Verfassungsänderung	bv_doc_id__9_d57e8228
angenommen	bv_doc_id__9_d57e8230
und	bv_doc_id__9_d57e8232
es	bv_doc_id__9_d57e8234
hat	bv_doc_id__9_d57e8236
das	bv_doc_id__9_d57e8238
bereits	bv_doc_id__9_d57e8241
kundgemachte	bv_doc_id__9_d57e8243
Bundesgesetz	bv_doc_id__9_d57e8245
abgelehnt	bv_doc_id__9_d57e8247
<g/>
,	
wenn	bv_doc_id__9_d57e8251
die	bv_doc_id__9_d57e8254
Mehrheit	bv_doc_id__9_d57e8256
der	bv_doc_id__9_d57e8258
abgegebenen	bv_doc_id__9_d57e8260
Stimmen	bv_doc_id__9_d57e8262
sich	bv_doc_id__9_d57e8264
für	bv_doc_id__9_d57e8267
die	bv_doc_id__9_d57e8269
Verfassungsänderung	bv_doc_id__9_d57e8271
oder	bv_doc_id__9_d57e8273
gegen	bv_doc_id__9_d57e8275
das	bv_doc_id__9_d57e8277
Bundesgesetz	bv_doc_id__9_d57e8280
ausgesprochen	bv_doc_id__9_d57e8282
hat	bv_doc_id__9_d57e8284
<g/>
.	
Artikel	bv_doc_id__9_d57e8296
35.	bv_doc_id__9_d57e8298
Das	bv_doc_id__9_d57e8303
Ergebnis	bv_doc_id__9_d57e8305
der	bv_doc_id__9_d57e8307
Volksabstimmung	bv_doc_id__9_d57e8309
ist	bv_doc_id__9_d57e8311
amtlich	bv_doc_id__9_d57e8314
zu	bv_doc_id__9_d57e8316
verlautbaren	bv_doc_id__9_d57e8318
<g/>
.	
Im	bv_doc_id__9_d57e8322
Falle	bv_doc_id__9_d57e8324
ein	bv_doc_id__9_d57e8327
Bundesgesetz	bv_doc_id__9_d57e8329
durch	bv_doc_id__9_d57e8331
Volksabstimmung	bv_doc_id__9_d57e8333
abgelehnt	bv_doc_id__9_d57e8335
wurde	bv_doc_id__9_d57e8337
<g/>
,	
ist	bv_doc_id__9_d57e8342
überdies	bv_doc_id__9_d57e8344
seine	bv_doc_id__9_d57e8346
Außerkraftsetzung	bv_doc_id__9_d57e8348
im	bv_doc_id__9_d57e8350
Bundesgesetzblatt	bv_doc_id__9_d57e8353
kundzumachen	bv_doc_id__9_d57e8355
<g/>
.	
Artikel	bv_doc_id__9_d57e8296
35.	bv_doc_id__9_d57e8298
Das	bv_doc_id__9_d57e8303
Ergebnis	bv_doc_id__9_d57e8305
der	bv_doc_id__9_d57e8307
Volksabstimmung	bv_doc_id__9_d57e8309
ist	bv_doc_id__9_d57e8311
amtlich	bv_doc_id__9_d57e8314
zu	bv_doc_id__9_d57e8316
verlautbaren	bv_doc_id__9_d57e8318
<g/>
.	
Im	bv_doc_id__9_d57e8322
Falle	bv_doc_id__9_d57e8324
ein	bv_doc_id__9_d57e8327
Bundesgesetz	bv_doc_id__9_d57e8329
durch	bv_doc_id__9_d57e8331
Volksabstimmung	bv_doc_id__9_d57e8333
abgelehnt	bv_doc_id__9_d57e8335
wurde	bv_doc_id__9_d57e8337
<g/>
,	
ist	bv_doc_id__9_d57e8342
überdies	bv_doc_id__9_d57e8344
seine	bv_doc_id__9_d57e8346
Außerkraftsetzung	bv_doc_id__9_d57e8348
im	bv_doc_id__9_d57e8350
Bundesgesetzblatt	bv_doc_id__9_d57e8353
kundzumachen	bv_doc_id__9_d57e8355
<g/>
.	
Artikel	bv_doc_id__9_d57e8365
36.	bv_doc_id__9_d57e8367
Ist	bv_doc_id__9_d57e8372
eine	bv_doc_id__9_d57e8374
Gesamtänderung	bv_doc_id__9_d57e8376
der	bv_doc_id__9_d57e8378
Bundesverfassung	bv_doc_id__9_d57e8380
durch	bv_doc_id__9_d57e8383
Volksabstimmung	bv_doc_id__9_d57e8385
abgelehnt	bv_doc_id__9_d57e8387
worden	bv_doc_id__9_d57e8389
<g/>
,	
so	bv_doc_id__9_d57e8393
hat	bv_doc_id__9_d57e8396
der	bv_doc_id__9_d57e8398
Bundespräsident	bv_doc_id__9_d57e8400
den	bv_doc_id__9_d57e8402
Bundestag	bv_doc_id__9_d57e8404
aufzulösen	bv_doc_id__9_d57e8406
und	bv_doc_id__9_d57e8409
gemäß	bv_doc_id__9_d57e8411
Artikel	bv_doc_id__9_d57e8413
19	bv_doc_id__9_d57e8415
der	bv_doc_id__9_d57e8417
Bundesverfassung	bv_doc_id__9_d57e8419
Neuwahlen	bv_doc_id__9_d57e8422
auszuschreiben	bv_doc_id__9_d57e8424
<g/>
.	
Artikel	bv_doc_id__9_d57e8365
36.	bv_doc_id__9_d57e8367
Ist	bv_doc_id__9_d57e8372
eine	bv_doc_id__9_d57e8374
Gesamtänderung	bv_doc_id__9_d57e8376
der	bv_doc_id__9_d57e8378
Bundesverfassung	bv_doc_id__9_d57e8380
durch	bv_doc_id__9_d57e8383
Volksabstimmung	bv_doc_id__9_d57e8385
abgelehnt	bv_doc_id__9_d57e8387
worden	bv_doc_id__9_d57e8389
<g/>
,	
so	bv_doc_id__9_d57e8393
hat	bv_doc_id__9_d57e8396
der	bv_doc_id__9_d57e8398
Bundespräsident	bv_doc_id__9_d57e8400
den	bv_doc_id__9_d57e8402
Bundestag	bv_doc_id__9_d57e8404
aufzulösen	bv_doc_id__9_d57e8406
und	bv_doc_id__9_d57e8409
gemäß	bv_doc_id__9_d57e8411
Artikel	bv_doc_id__9_d57e8413
19	bv_doc_id__9_d57e8415
der	bv_doc_id__9_d57e8417
Bundesverfassung	bv_doc_id__9_d57e8419
Neuwahlen	bv_doc_id__9_d57e8422
auszuschreiben	bv_doc_id__9_d57e8424
<g/>
.	
Artikel	bv_doc_id__9_d57e8434
37.	bv_doc_id__9_d57e8436
<g/>
(	
1	bv_doc_id__9_d57e8445
<g/>
)	
Das	bv_doc_id__9_d57e8450
Verfahren	bv_doc_id__9_d57e8452
für	bv_doc_id__9_d57e8454
die	bv_doc_id__9_d57e8456
Volksabstimmung	bv_doc_id__9_d57e8459
sowie	bv_doc_id__9_d57e8461
für	bv_doc_id__9_d57e8463
die	bv_doc_id__9_d57e8465
in	bv_doc_id__9_d57e8467
den	bv_doc_id__9_d57e8469
Artikeln	bv_doc_id__9_d57e8472
30	bv_doc_id__9_d57e8474
und	bv_doc_id__9_d57e8476
33	bv_doc_id__9_d57e8478
vorgesehene	bv_doc_id__9_d57e8480
Volksinitiative	bv_doc_id__9_d57e8482
wird	bv_doc_id__9_d57e8485
durch	bv_doc_id__9_d57e8487
Bundesgesetz	bv_doc_id__9_d57e8489
geregelt	bv_doc_id__9_d57e8491
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e8502
<g/>
)	
Stimmberechtigt	bv_doc_id__9_d57e8507
ist	bv_doc_id__9_d57e8509
jeder	bv_doc_id__9_d57e8511
zum	bv_doc_id__9_d57e8513
Bundestag	bv_doc_id__9_d57e8516
wahlberechtigte	bv_doc_id__9_d57e8518
Bundesangehörige	bv_doc_id__9_d57e8520
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e8531
<g/>
)	
Der	bv_doc_id__9_d57e8536
Bundespräsident	bv_doc_id__9_d57e8538
ordnet	bv_doc_id__9_d57e8540
die	bv_doc_id__9_d57e8542
Volksabstimmung	bv_doc_id__9_d57e8545
an	bv_doc_id__9_d57e8547
<g/>
.	
Artikel	bv_doc_id__9_d57e8434
37.	bv_doc_id__9_d57e8436
<g/>
(	
1	bv_doc_id__9_d57e8445
<g/>
)	
Das	bv_doc_id__9_d57e8450
Verfahren	bv_doc_id__9_d57e8452
für	bv_doc_id__9_d57e8454
die	bv_doc_id__9_d57e8456
Volksabstimmung	bv_doc_id__9_d57e8459
sowie	bv_doc_id__9_d57e8461
für	bv_doc_id__9_d57e8463
die	bv_doc_id__9_d57e8465
in	bv_doc_id__9_d57e8467
den	bv_doc_id__9_d57e8469
Artikeln	bv_doc_id__9_d57e8472
30	bv_doc_id__9_d57e8474
und	bv_doc_id__9_d57e8476
33	bv_doc_id__9_d57e8478
vorgesehene	bv_doc_id__9_d57e8480
Volksinitiative	bv_doc_id__9_d57e8482
wird	bv_doc_id__9_d57e8485
durch	bv_doc_id__9_d57e8487
Bundesgesetz	bv_doc_id__9_d57e8489
geregelt	bv_doc_id__9_d57e8491
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e8445
<g/>
)	
<g/>
(	
2	bv_doc_id__9_d57e8502
<g/>
)	
Stimmberechtigt	bv_doc_id__9_d57e8507
ist	bv_doc_id__9_d57e8509
jeder	bv_doc_id__9_d57e8511
zum	bv_doc_id__9_d57e8513
Bundestag	bv_doc_id__9_d57e8516
wahlberechtigte	bv_doc_id__9_d57e8518
Bundesangehörige	bv_doc_id__9_d57e8520
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e8502
<g/>
)	
<g/>
(	
3	bv_doc_id__9_d57e8531
<g/>
)	
Der	bv_doc_id__9_d57e8536
Bundespräsident	bv_doc_id__9_d57e8538
ordnet	bv_doc_id__9_d57e8540
die	bv_doc_id__9_d57e8542
Volksabstimmung	bv_doc_id__9_d57e8545
an	bv_doc_id__9_d57e8547
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e8531
<g/>
)	
Artikel	bv_doc_id__9_d57e8557
38.	bv_doc_id__9_d57e8559
<g/>
(	
1	bv_doc_id__9_d57e8568
<g/>
)	
Jeder	bv_doc_id__9_d57e8573
Gesetzesbeschluß	bv_doc_id__9_d57e8575
des	bv_doc_id__9_d57e8577
Bundestages	bv_doc_id__9_d57e8579
ist	bv_doc_id__9_d57e8582
unverzüglich	bv_doc_id__9_d57e8584
durch	bv_doc_id__9_d57e8586
den	bv_doc_id__9_d57e8588
Präsidenten	bv_doc_id__9_d57e8590
des	bv_doc_id__9_d57e8592
Bundestages	bv_doc_id__9_d57e8595
dem	bv_doc_id__9_d57e8597
Bundeskanzler	bv_doc_id__9_d57e8599
zu	bv_doc_id__9_d57e8601
übermitteln	bv_doc_id__9_d57e8603
<g/>
,	
der	bv_doc_id__9_d57e8608
ihn	bv_doc_id__9_d57e8610
sofort	bv_doc_id__9_d57e8612
dem	bv_doc_id__9_d57e8614
Bundesrat	bv_doc_id__9_d57e8616
zur	bv_doc_id__9_d57e8618
Genehmigung	bv_doc_id__9_d57e8621
vorzulegen	bv_doc_id__9_d57e8623
hat	bv_doc_id__9_d57e8625
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e8636
<g/>
)	
Der	bv_doc_id__9_d57e8641
Bundesrat	bv_doc_id__9_d57e8643
hat	bv_doc_id__9_d57e8645
den	bv_doc_id__9_d57e8647
Gesetzesbeschlüssen	bv_doc_id__9_d57e8650
des	bv_doc_id__9_d57e8652
Bundestages	bv_doc_id__9_d57e8654
bis	bv_doc_id__9_d57e8656
längstens	bv_doc_id__9_d57e8658
vier	bv_doc_id__9_d57e8660
Wochen	bv_doc_id__9_d57e8663
nach	bv_doc_id__9_d57e8665
Schluß	bv_doc_id__9_d57e8667
der	bv_doc_id__9_d57e8669
Sitzungsperiode	bv_doc_id__9_d57e8671
die	bv_doc_id__9_d57e8673
Genehmigung	bv_doc_id__9_d57e8676
zu	bv_doc_id__9_d57e8678
erteilen	bv_doc_id__9_d57e8680
oder	bv_doc_id__9_d57e8682
mit	bv_doc_id__9_d57e8684
Angabe	bv_doc_id__9_d57e8686
von	bv_doc_id__9_d57e8689
Gründen	bv_doc_id__9_d57e8691
zu	bv_doc_id__9_d57e8693
verweigern	bv_doc_id__9_d57e8695
<g/>
.	
<g/>
(	
3	bv_doc_id__9_d57e8706
<g/>
)	
Der	bv_doc_id__9_d57e8711
genehmigte	bv_doc_id__9_d57e8713
Gesetzesbeschluß	bv_doc_id__9_d57e8715
ist	bv_doc_id__9_d57e8717
im	bv_doc_id__9_d57e8720
Wege	bv_doc_id__9_d57e8722
des	bv_doc_id__9_d57e8724
Bundeskanzlers	bv_doc_id__9_d57e8726
dem	bv_doc_id__9_d57e8728
Bundespräsidenten	bv_doc_id__9_d57e8730
zur	bv_doc_id__9_d57e8733
Beurkundung	bv_doc_id__9_d57e8735
zu	bv_doc_id__9_d57e8737
übermitteln	bv_doc_id__9_d57e8739
<g/>
.	
<g/>
(	
4	bv_doc_id__9_d57e8750
<g/>
)	
Die	bv_doc_id__9_d57e8755
begründete	bv_doc_id__9_d57e8757
Verweigerung	bv_doc_id__9_d57e8759
der	bv_doc_id__9_d57e8761
Genehmigung	bv_doc_id__9_d57e8764
ist	bv_doc_id__9_d57e8766
in	bv_doc_id__9_d57e8768
schriftlicher	bv_doc_id__9_d57e8770
Ausfertigung	bv_doc_id__9_d57e8772
im	bv_doc_id__9_d57e8774
Wege	bv_doc_id__9_d57e8777
des	bv_doc_id__9_d57e8779
Bundeskanzlers	bv_doc_id__9_d57e8781
dem	bv_doc_id__9_d57e8783
Bundestag	bv_doc_id__9_d57e8785
bekanntzugeben	bv_doc_id__9_d57e8787
<g/>
.	
Artikel	bv_doc_id__9_d57e8557
38.	bv_doc_id__9_d57e8559
<g/>
(	
1	bv_doc_id__9_d57e8568
<g/>
)	
Jeder	bv_doc_id__9_d57e8573
Gesetzesbeschluß	bv_doc_id__9_d57e8575
des	bv_doc_id__9_d57e8577
Bundestages	bv_doc_id__9_d57e8579
ist	bv_doc_id__9_d57e8582
unverzüglich	bv_doc_id__9_d57e8584
durch	bv_doc_id__9_d57e8586
den	bv_doc_id__9_d57e8588
Präsidenten	bv_doc_id__9_d57e8590
des	bv_doc_id__9_d57e8592
Bundestages	bv_doc_id__9_d57e8595
dem	bv_doc_id__9_d57e8597
Bundeskanzler	bv_doc_id__9_d57e8599
zu	bv_doc_id__9_d57e8601
übermitteln	bv_doc_id__9_d57e8603
<g/>
,	
der	bv_doc_id__9_d57e8608
ihn	bv_doc_id__9_d57e8610
sofort	bv_doc_id__9_d57e8612
dem	bv_doc_id__9_d57e8614
Bundesrat	bv_doc_id__9_d57e8616
zur	bv_doc_id__9_d57e8618
Genehmigung	bv_doc_id__9_d57e8621
vorzulegen	bv_doc_id__9_d57e8623
hat	bv_doc_id__9_d57e8625
<g/>
.	
<g/>
(	
1	bv_doc_id__9_d57e8568
<g/>
)	
<g/>
(	
2	bv_doc_id__9_d57e8636
<g/>
)	
Der	bv_doc_id__9_d57e8641
Bundesrat	bv_doc_id__9_d57e8643
hat	bv_doc_id__9_d57e8645
den	bv_doc_id__9_d57e8647
Gesetzesbeschlüssen	bv_doc_id__9_d57e8650
des	bv_doc_id__9_d57e8652
Bundestages	bv_doc_id__9_d57e8654
bis	bv_doc_id__9_d57e8656
längstens	bv_doc_id__9_d57e8658
vier	bv_doc_id__9_d57e8660
Wochen	bv_doc_id__9_d57e8663
nach	bv_doc_id__9_d57e8665
Schluß	bv_doc_id__9_d57e8667
der	bv_doc_id__9_d57e8669
Sitzungsperiode	bv_doc_id__9_d57e8671
die	bv_doc_id__9_d57e8673
Genehmigung	bv_doc_id__9_d57e8676
zu	bv_doc_id__9_d57e8678
erteilen	bv_doc_id__9_d57e8680
oder	bv_doc_id__9_d57e8682
mit	bv_doc_id__9_d57e8684
Angabe	bv_doc_id__9_d57e8686
von	bv_doc_id__9_d57e8689
Gründen	bv_doc_id__9_d57e8691
zu	bv_doc_id__9_d57e8693
verweigern	bv_doc_id__9_d57e8695
<g/>
.	
<g/>
(	
2	bv_doc_id__9_d57e8636
<g/>
